ID,Model,Date Aquired,VIN or Serial,License,Assigned Location,Vehicle,Tag,Service Info
T238,"RoadTractor Mack (2010), White",1/23/2013,1M2AX09Y9AM007706,29882YA,div 9,Photos/Library/T238-P.jpg,Photos/Library/T238-T.jpg,N/A
T240,Truck Ford F-150 (2014 Buffy),5/19/2014,1FTFW1EF7EFA42228,WNS7995,div 9,Photos/Library/T240-P.jpg,Photos/Library/T240-T.jpg,N/A
T260,Pickup Truck Ford F150 (2014 Carlos),1/8/2020,1FTPF1EF4EKF50085,*,div 9,Photos/Library/T260-P.jpg,Photos/Library/T260-T.jpg,N/A
T340,Western Star 4900SA Heavy Hauler (2005),12/20/2013,5KJNALAV55PU59878,30684YA,div 9,Photos/Library/T340-P.jpg,Photos/Library/T340-T.jpg,N/A
T346,Ford F-350 (2005),12/20/2013,1FDWX35PX5EA47085,23325TB,div 9,Photos/Library/T346-P.jpg,Photos/Library/T346-T.jpg,N/A
T349,Pickup Truck GMC Sierra (2013),7/28/2016,1GD22ZCG8DZ186514,TX260374,div 9,Photos/Library/T349-P.jpg,Photos/Library/T349-T.jpg,N/A
L40,JohnDeere 544J,12/2/2005,DW544JZ595258,N/A,div 2,Photos/Library/L40-P.jpg,Photos/Library/L40-T.jpg,N/A
L41,"WheelLoader JohnDeere,  344J",12/31/2006,LU344JX814962,N/A,div 12,Photos/Library/L41-P.jpg,Photos/Library/L41-T.jpg,N/A
L42,"Wheel Loader JohnDeere, 544J",6/1/2012,DW544JZ611745,N/A,div 2,Photos/Library/L42-P.jpg,Photos/Library/L42-T.jpg,N/A
L123,John Deere 544J,5/1/2010,DW544JZ618936,N/A,div 1,Photos/Library/L123-P.jpg,Photos/Library/L123-T.jpg,N/A
L124,Loader JohnDeere 544K,3/7/2012,1DW544KZLBD641365,N/A,div 14,Photos/Library/L124-P.jpg,Photos/Library/L124-T.jpg,N/A
L126,"Wheel Loader JohnDeere, 444K",9/27/2011,DW444KZ621927,N/A,div 7,Photos/Library/L126-P.jpg,Photos/Library/L126-T.jpg,N/A
L127,John Deere 544k,5/25/2016,1DW544KZVEE660767,N/A,div 3,Photos/Library/L127-P.jpg,Photos/Library/L127-T.jpg,N/A
A-63,RotaryCutter(bushhog) BB72X,7/31/2012,7/9/5212,N/A,div 1,Photos/Library/A-63-P.jpg,Photos/Library/A-63-T.jpg,N/A
A-87,Ditchwitch Forks,*,*,N/A,div 1,Photos/Library/A-87-P.jpg,Photos/Library/A-87-T.jpg,N/A
A-88,Homemade Blade for Ditchwitch,*,*,N/A,div 1,Photos/Library/A-88-P.jpg,Photos/Library/A-88-T.jpg,N/A
LM1,John Deere Lawn Mower 757 Z-Turn,*,TC757MB031019,N/A,div 1,Photos/Library/LM1-P.jpg,Photos/Library/LM1-T.jpg,N/A
